Source	f50	tp	Target
KCC2B_HUMAN	61	tp_1	CTNB1_HUMAN_S552
p38_HUMAN	62	tp_1	KPCD1_HUMAN_S397
KPC_HUMAN	58	tp_1	KPCD1_HUMAN_S742
CDK1_HUMAN	57	tp_1	RIR2_HUMAN_S20
KC1E_HUMAN	29	tp_1	CTND1_HUMAN_S268
AURKA_HUMAN	7	tp_1	ARHG2_HUMAN_S886
KAPCA_HUMAN	73	tp_1	2A5D_HUMAN_S573
CDK1_HUMAN	70	tp_1	KAT7_HUMAN_T88
DYRK2_HUMAN	63	tp_1	CHSP1_HUMAN_S41
DYRK2_HUMAN	84	tp_1	CHSP1_HUMAN_S30
DYRK2_HUMAN	91	tp_1	CHSP1_HUMAN_S32
PDK1_HUMAN	90	tp_1	ODPAT_HUMAN_S291
PDK1_HUMAN	64	tp_1	ODPAT_HUMAN_S298
AAPK_HUMAN	66	tp_1	PAK2_HUMAN_S20
KAPCA_HUMAN	39	tp_1	HSPB1_HUMAN_S82
KAPCA_HUMAN	73	tp_1	VIME_HUMAN_S39
KPC_HUMAN	8	tp_1	PTN12_HUMAN_S435
PDPK1_HUMAN	52	tp_1	ODPA_HUMAN_S232
KAPCA_HUMAN	59	tp_1	RPGP1_HUMAN_S499
KAPCA_HUMAN	64	tp_1	ACLY_HUMAN_S455
KPCD_HUMAN	55	tp_1	KPCD_HUMAN_S304
GNAQ_11_HUMAN	91.4	tp_1	KCC2B_HUMAN
EDNRB_HUMAN	100	tp_1	GNAQ_11_HUMAN
GBB_HUMAN	100	tp_1	PI3K_HUMAN
EDNRB_HUMAN	100	tp_1	GBB_HUMAN
GBG_HUMAN	100	tp_1	PI3K_HUMAN
EDNRB_HUMAN	100	tp_1	GBG_HUMAN
KPC_HUMAN	47	tp_1	AKT_HUMAN_S473
GNAQ_11_HUMAN	100	tp_1	KPC_HUMAN
GNAQ_11_HUMAN	100	tp_1	PI3K_HUMAN
ARRB_HUMAN	100	tp_1	SRC_HUMAN
EDNRB_HUMAN	100	tp_1	ARRB_HUMAN
GNAS_HUMAN	100	tp_1	KAPCA_HUMAN
EDNRB_HUMAN	100	tp_1	GNAS_HUMAN
GNAI_HUMAN	100	tp_1	KAPCA_HUMAN
EDNRB_HUMAN	100	tp_1	GNAI_HUMAN
ARRB_HUMAN	100	tp_1	M3K5_HUMAN
MP2K6_HUMAN	64.8	tp_1	p38_HUMAN_Y185
M3K5_HUMAN	42.8	tp_1	MP2K6_HUMAN_T211
SRC_HUMAN	57.4	tp_1	KPCD_HUMAN_Y313
WEE1_HUMAN	11	tp_1	CDK1_HUMAN_S46
AKT_HUMAN	17.6	tp_1	WEE1_HUMAN_S642
